new_id,steady_pop,resident_count,init_pop,population
US_SanJose_00274,23170.181640625,23170.181640625,3073.915631155233,10394.502
US_SanJose_00275,18515.94140625,18515.94140625,3073.915631155233,12746.514
US_SanJose_00276,8799.3076171875,8799.3076171875,3073.915631155233,2755.89
US_SanJose_00277,739.8881225585938,739.8881225585938,3073.915631155233,45.86922
US_SanJose_00278,22.800518035888672,22.800518035888672,3073.915631155233,35.288975
US_SanJose_00279,50.75919723510742,50.75919723510742,3073.915631155233,28.284597
US_SanJose_00280,1.6512649059295654,1.6512649059295654,3073.915631155233,22.065346
US_SanJose_00281,19.50155258178711,19.50155258178711,3073.915631155233,12.126542
US_SanJose_00282,18.85850143432617,18.85850143432617,3073.915631155233,14.670269
US_SanJose_00283,55.38050079345703,55.38050079345703,3073.915631155233,16.231657
US_SanJose_00284,7.803469657897949,7.803469657897949,3073.915631155233,18.391336
US_SanJose_00285,4.307517051696777,4.307517051696777,3073.915631155233,21.72268
US_SanJose_00286,246.07843017578125,246.07843017578125,3073.915631155233,4599.338
US_SanJose_00287,372.8721923828125,372.8721923828125,3073.915631155233,5890.144
US_SanJose_00288,76.54963684082031,76.54963684082031,3073.915631155233,5819.0483
US_SanJose_00289,9769.3759765625,9769.3759765625,3073.915631155233,6793.4795
US_SanJose_00290,14805.7900390625,14805.7900390625,3073.915631155233,7549.704
US_SanJose_00291,19634.861328125,19634.861328125,3073.915631155233,11692.094
US_SanJose_00292,8245.447265625,8245.447265625,3073.915631155233,4427.621
US_SanJose_00293,14601.11328125,14601.11328125,3073.915631155233,9567.971
US_SanJose_00294,15700.7216796875,15700.7216796875,3073.915631155233,7232.891
US_SanJose_00295,10795.91015625,10795.91015625,3073.915631155233,13513.314
US_SanJose_00296,17258.171875,17258.171875,3073.915631155233,6151.4976
US_SanJose_00297,6634.6572265625,6634.6572265625,3073.915631155233,4756.159
US_SanJose_00298,1139.984130859375,1139.984130859375,3073.915631155233,2686.4006
US_SanJose_00299,30.019487380981445,30.019487380981445,3073.915631155233,2417.6646
US_SanJose_00300,123.44109344482422,123.44109344482422,3073.915631155233,30.048624
US_SanJose_00301,7.143754005432129,7.143754005432129,3073.915631155233,23.579027
US_SanJose_00302,22.27035522460937,22.27035522460937,3073.915631155233,10.371958
US_SanJose_00303,11.581378936767578,11.581378936767578,3073.915631155233,12.53171
US_SanJose_00304,17.957210540771484,17.957210540771484,3073.915631155233,1254.7994
US_SanJose_00305,22.88534927368164,22.88534927368164,3073.915631155233,16.475965
US_SanJose_00306,9.17038917541504,9.17038917541504,3073.915631155233,18.40615
US_SanJose_00307,6.924374580383301,6.924374580383301,3073.915631155233,21.85488
US_SanJose_00308,1.3984191417694092,1.3984191417694092,3073.915631155233,28.147305
US_SanJose_00309,1.7520846128463743,1.7520846128463743,3073.915631155233,4829.559
US_SanJose_00310,214.44760131835935,214.44760131835935,3073.915631155233,41.551888
US_SanJose_00311,55.80923461914063,55.80923461914063,3073.915631155233,4919.8604
US_SanJose_00312,7311.9013671875,7311.9013671875,3073.915631155233,4141.4897
US_SanJose_00313,5164.986328125,5164.986328125,3073.915631155233,1400.6665
US_SanJose_00314,1456.5235595703125,1456.5235595703125,3073.915631155233,7537.594
US_SanJose_00315,2364.465576171875,2364.465576171875,3073.915631155233,6591.779
US_SanJose_00316,8611.701171875,8611.701171875,3073.915631155233,3022.8933
US_SanJose_00317,15780.748046875,15780.748046875,3073.915631155233,10755.805
US_SanJose_00318,11369.57421875,11369.57421875,3073.915631155233,55.499073
US_SanJose_00319,2710.725830078125,2710.725830078125,3073.915631155233,2411.6812
US_SanJose_00320,276.77313232421875,276.77313232421875,3073.915631155233,44.388664
