new_id,longitude,latitude
US_SanJose_00104,-122.01240822232297,37.23098584902343
US_SanJose_00105,-122.01217299941399,37.249011290881036
US_SanJose_00106,-122.01193756702907,37.26703667645798
US_SanJose_00107,-122.01170192497231,37.28506200574348
US_SanJose_00108,-122.01146607304774,37.303087278726736
US_SanJose_00109,-122.01123001105894,37.32111249539701
US_SanJose_00110,-122.01099373880923,37.33913765574358
US_SanJose_00111,-122.01075725610178,37.3571627597557
US_SanJose_00112,-122.01052056273929,37.37518780742271
US_SanJose_00113,-122.0102836585243,37.39321279873391
US_SanJose_00114,-122.01004654325907,37.41123773367867
US_SanJose_00115,-122.0095716787853,37.44728743442629
US_SanJose_00116,-121.9910650897471,37.14066826556171
US_SanJose_00117,-121.99082556809182,37.15869386551335
US_SanJose_00118,-121.99058583317967,37.176719409181025
