plonwgs84,platwgs84,id,version,sources,names,categories,confidence,websites,socials,emails,phones,brand,addresses,plonwgs84,platwgs84
-122.0571405,36.952553,334cbe8c-ccb2-43b9-bdf3-c0a78337c444,1,"[{'property': '', 'dataset': 'meta', 'record_id': '162242363843497', 'update_time': '2025-06-02T07:00:00.000Z', 'confidence': 0.33766233766233766, 'between': None}]","{'primary': 'Flower Field', 'common': None, 'rules': None}","{'primary': 'park', 'alternate': array(['active_life', 'attractions_and_activities'], dtype=object)}",0.33766233766233766,,['https://www.facebook.com/162242363843497'],,,,"[{'freeform': None, 'locality': None, 'postcode': '95060', 'region': None, 'country': 'US'}]",-122.0571405,36.952553
-122.0511397,36.9534823,1ce4c9c0-06c0-4c0f-b153-fdfa445dc22f,1,"[{'property': '', 'dataset': 'meta', 'record_id': '139374926100120', 'update_time': '2025-06-02T07:00:00.000Z', 'confidence': 0.9784508333782836, 'between': None}]","{'primary': 'Sergeant Derby Park', 'common': None, 'rules': None}","{'primary': 'park', 'alternate': array(['skate_park', 'sports_and_recreation_venue'], dtype=object)}",0.9784508333782836,['http://skateparks.com/completed_parks.php?nid=28#top'],['https://www.facebook.com/139374926100120'],,['+18314205270'],,"[{'freeform': '508 Woodland Way', 'locality': 'Santa Cruz', 'postcode': '95060-6249', 'region': 'CA', 'country': 'US'}]",-122.0511397,36.9534823
-122.0467061,36.9493944,421de5ef-f199-48bb-8c65-658317bccef8,1,"[{'property': '', 'dataset': 'meta', 'record_id': '1762828980607608', 'update_time': '2025-06-02T07:00:00.000Z', 'confidence': 0.9459263554653523, 'between': None}]","{'primary': 'West Cliff Dr tide pools', 'common': None, 'rules': None}","{'primary': 'park', 'alternate': array(['landmark_and_historical_building', 'beach'], dtype=object)}",0.9459263554653523,['http://www.santacruzca.org/things/beaches.php?attid=85952'],['https://www.facebook.com/1762828980607608'],,['+18314234609'],,"[{'freeform': None, 'locality': None, 'postcode': '95060', 'region': None, 'country': 'US'}]",-122.0467061,36.9493944
-122.0427561,36.9577045,5932bda6-a2f6-4a72-98e7-f7e1df9c2036,1,"[{'property': '', 'dataset': 'meta', 'record_id': '2014145095482964', 'update_time': '2025-06-02T07:00:00.000Z', 'confidence': 0.9784508333782836, 'between': None}]","{'primary': 'Garfield Park', 'common': None, 'rules': None}","{'primary': 'park', 'alternate': array(['attractions_and_activities', 'public_plaza'], dtype=object)}",0.9784508333782836,,['https://www.facebook.com/2014145095482964'],,['+18314205270'],,"[{'freeform': '634 Almar Ave', 'locality': 'Santa Cruz', 'postcode': '95060-5801', 'region': 'CA', 'country': 'US'}]",-122.0427561,36.9577045
-122.0392309,36.9545569,3a06ea2d-ede1-4bfa-9f1a-b8d2c4ad261e,1,"[{'property': '', 'dataset': 'meta', 'record_id': '132262663517363', 'update_time': '2025-06-02T07:00:00.000Z', 'confidence': 0.9300613496932515, 'between': None}]","{'primary': 'Bethany Curve', 'common': None, 'rules': None}","{'primary': 'park', 'alternate': array(['social_service_organizations'], dtype=object)}",0.9300613496932515,,['https://www.facebook.com/132262663517363'],,['+18314205270'],,"[{'freeform': '308 Bethany Curv', 'locality': 'Santa Cruz', 'postcode': '95060-6426', 'region': 'CA', 'country': 'US'}]",-122.0392309,36.9545569
-122.03672,36.95296,79893821-5c63-49cc-95af-a80a73bb04c2,1,"[{'property': '', 'dataset': 'meta', 'record_id': '304448136371604', 'update_time': '2025-06-02T07:00:00.000Z', 'confidence': 0.7548172757475083, 'between': None}]","{'primary': 'Bethany Curve Greenbelt', 'common': None, 'rules': None}","{'primary': 'park', 'alternate': array(['attractions_and_activities', 'active_life'], dtype=object)}",0.7548172757475083,,['https://www.facebook.com/304448136371604'],,['+18314205270'],,"[{'freeform': 'Bethany Curve Greenbelt, 990 W Cliff Dr', 'locality': 'Santa Cruz', 'postcode': '95060', 'region': 'CA', 'country': 'US'}]",-122.03672,36.95296
-122.028389,36.9518378,ef5a5418-9c07-46c3-9cb4-324a32ccf1ec,1,"[{'property': '', 'dataset': 'meta', 'record_id': '1232093740233311', 'update_time': '2025-06-02T07:00:00.000Z', 'confidence': 0.9415384615384615, 'between': None}]","{'primary': 'West Cliff Dog Park', 'common': None, 'rules': None}","{'primary': 'park', 'alternate': array(['landmark_and_historical_building', 'beach'], dtype=object)}",0.9415384615384615,['http://www.santacruzca.org/things/beaches.php?attid=85952'],['https://www.facebook.com/1232093740233311'],,['+18314234609'],,"[{'freeform': 'Westside', 'locality': None, 'postcode': '95060', 'region': None, 'country': 'US'}]",-122.028389,36.9518378
-122.026712,36.951448,ac791710-9aae-4f66-9bc2-ed40d611af23,1,"[{'property': '', 'dataset': 'meta', 'record_id': '264505413564790', 'update_time': '2025-06-02T07:00:00.000Z', 'confidence': 0.7548172757475083, 'between': None}]","{'primary': 'West Cliff Light House', 'common': None, 'rules': None}","{'primary': 'museum', 'alternate': array(['art_museum', 'arts_and_entertainment'], dtype=object)}",0.7548172757475083,['http://www.santacruzsurfingmuseum.org/'],['https://www.facebook.com/264505413564790'],,['+18314206289'],,"[{'freeform': '701 W Cliff Dr', 'locality': 'Santa Cruz', 'postcode': '95060-6174', 'region': 'CA', 'country': 'US'}]",-122.026712,36.951448
-122.026717,36.951484,7fbb29f5-3482-451e-ae65-6fcfc54e7636,1,"[{'property': '', 'dataset': 'meta', 'record_id': '142626122437096', 'update_time': '2025-06-02T07:00:00.000Z', 'confidence': 0.49293966623876767, 'between': None}]","{'primary': 'Lighthouse Point Park', 'common': None, 'rules': None}","{'primary': 'park', 'alternate': array(['beach', 'active_life'], dtype=object)}",0.4929396662387677,['http://ventana.sierraclub.org/conservation/local/coastal_guardians.shtml'],['https://www.facebook.com/142626122437096'],,['+18314292850'],,"[{'freeform': '701 W Cliff Dr', 'locality': 'Santa Cruz', 'postcode': '95060-6174', 'region': 'CA', 'country': 'US'}]",-122.026717,36.951484
-122.02624,36.951474,10495d09-73cc-4043-b58a-f78134cd9c4a,1,"[{'property': '', 'dataset': 'meta', 'record_id': '530735050288800', 'update_time': '2025-06-02T07:00:00.000Z', 'confidence': 0.7548172757475083, 'between': None}]","{'primary': 'Light House Point', 'common': None, 'rules': None}","{'primary': 'park', 'alternate': array(['skate_park', 'active_life'], dtype=object)}",0.7548172757475083,,['https://www.facebook.com/530735050288800'],,['+18314599792'],,"[{'freeform': 'Light House Point', 'locality': None, 'postcode': '95060', 'region': None, 'country': 'US'}]",-122.02624,36.951474
